Output Areas Code,Output Areas,Distance travelled to work (11 categories) Code,Distance travelled to work (11 categories),Observation
E00056760,E00056760,5,20km to less than 30km,1
E00056760,E00056760,6,30km to less than 40km,1
E00056760,E00056760,7,40km to less than 60km,2
E00056760,E00056760,8,60km and over,0
E00056760,E00056760,9,Works mainly from home,50
E00056760,E00056760,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",28
E00056761,E00056761,-8,Does not apply,130
E00056761,E00056761,1,Less than 2km,12
E00056761,E00056761,2,2km to less than 5km,9
E00056761,E00056761,3,5km to less than 10km,17
E00056761,E00056761,4,10km to less than 20km,34
E00056761,E00056761,5,20km to less than 30km,3
E00056761,E00056761,6,30km to less than 40km,0
E00056761,E00056761,7,40km to less than 60km,2
E00056761,E00056761,8,60km and over,0
E00056761,E00056761,9,Works mainly from home,58
E00056761,E00056761,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",14
E00056762,E00056762,-8,Does not apply,229
E00056762,E00056762,1,Less than 2km,20
E00056762,E00056762,2,2km to less than 5km,13
E00056762,E00056762,3,5km to less than 10km,22
E00056762,E00056762,4,10km to less than 20km,42
E00056762,E00056762,5,20km to less than 30km,4
E00056762,E00056762,6,30km to less than 40km,2
E00056762,E00056762,7,40km to less than 60km,1
E00056762,E00056762,8,60km and over,1
E00056762,E00056762,9,Works mainly from home,94
E00056762,E00056762,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",29
E00056763,E00056763,-8,Does not apply,166
E00056763,E00056763,1,Less than 2km,16
E00056763,E00056763,2,2km to less than 5km,20
E00056763,E00056763,3,5km to less than 10km,13
E00056763,E00056763,4,10km to less than 20km,23
E00056763,E00056763,5,20km to less than 30km,5
E00056763,E00056763,6,30km to less than 40km,1
E00056763,E00056763,7,40km to less than 60km,3
E00056763,E00056763,8,60km and over,2
E00056763,E00056763,9,Works mainly from home,61
E00056763,E00056763,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",24
E00056764,E00056764,-8,Does not apply,164
E00056764,E00056764,1,Less than 2km,10
E00056764,E00056764,2,2km to less than 5km,8
E00056764,E00056764,3,5km to less than 10km,18
E00056764,E00056764,4,10km to less than 20km,29
E00056764,E00056764,5,20km to less than 30km,2
E00056764,E00056764,6,30km to less than 40km,0
E00056764,E00056764,7,40km to less than 60km,0
E00056764,E00056764,8,60km and over,4
E00056764,E00056764,9,Works mainly from home,79
E00056764,E00056764,10,"Works mainly at an offshore installation, in no fixed place, or outside the UK",12
